"","course_name","district","city_name1","length","height","hiking_road","uphill_road","downhill_road","level"
"1","고봉산~고봉산등산로_코스","경기도","고양시",1321,132,1.1,0.1,0.1,10
"2","고봉산~고봉산등산로_코스","경기도","고양시",852,132,0.65,0.1,0.1,10
"3","고봉산등산로~고봉산등산로_코스","경기도","고양시",1548,132,1.35,0.1,0.1,11
"4","구룡산~한솔공원_코스","서울특별시","강남구",2325,259,1.83,0.1,0.3,12
"5","한솔공원~구룡산_코스","서울특별시","강남구",2325,259,1.8,0.3,0.1,12
"6","황룡산_코스","경기도","고양시",1759,103,1.36,0.3,0.1,13
"7","황룡산_코스","경기도","고양시",1680,103,1.28,0.3,0.1,13
"8","삼천교~북한산성탐방지원센터_코스","서울특별시","은평구",2572,83,2.37,0.1,0.1,13
"9","북한산성탐방지원센터~삼천교_코스","서울특별시","은평구",2572,83,2.17,0.1,0.3,13
"10","아차산 생태공원~워커힐버스정류소_코스","서울특별시","광진구",391,88,0.2,0.09,0.1,14
"11","북한산성탐방지원센터~삼천사계곡_코스","서울특별시","은평구",2793,83,2.39,0.1,0.3,14
"12","북한산성탐방지원센터~삼천탐방지원센터_코스","서울특별시","은평구",2725,83,2.33,0.1,0.3,14
"13","삼천탐방지원센터~북한산성탐방지원센터_코스","서울특별시","은평구",2725,83,2.33,0.2,0.2,14
"14","삼천사계곡~북한산성탐방지원센터_코스","서울특별시","은평구",2793,83,2.49,0.1,0.2,14
"15","청계산입구삼거리~한솔공원_코스","서울특별시","서초구",4041,268,2.64,0.6,0.4,14
"16","한솔공원~청계산입구삼거리_코스","서울특별시","강남구",4041,268,2.6,0.3,0.7,14
"17","덕소등산로입구~덕소주유소_코스","경기도","남양주",4294,112,3.6,0.2,0.49,14
"18","홍은동골프연습장~산골마을주거환경개선지구_코스","서울특별시","서대문",930,129,0.43,0.2,0.3,15
"19","산골마을주거환경개선지구~홍은동골프연습장_코스","서울특별시","은평구",930,129,0.53,0.2,0.2,15
"20","홍은여자중학교산~산골마을주거환경개선지구_코스","서울특별시","서대문",905,129,0.6,0.1,0.2,15
"21","산골마을주거환경개선지구~홍은여자중학교산_코스","서울특별시","은평구",905,129,0.6,0.2,0.1,15
"22","배봉산 근린공원 1 개방화장실~서울시립대학교음악관_코스","서울특별시","동대문",824,66,0.62,0.1,0.1,15
"23","북한산성분소~삼천사계곡_코스","서울특별시","은평구",2963,83,2.46,0.2,0.3,15
"24","북한산성분소~72보병사단 버스정류장_코스","서울특별시","은평구",7538,149,6.24,0.6,0.6,15
"25","북한산성탐방지원센터~72보병사단 버스정류장_코스","서울특별시","은평구",7526,149,6.5,0.5,0.5,15
"26","삼천사계곡~북한산성분소_코스","서울특별시","은평구",2963,83,2.66,0.1,0.2,15
"27","한솔공원~청계산입구삼거리_코스","서울특별시","강남구",4284,268,2.6,0.4,0.7,15
"28","청계산입구삼거리~한솔공원_코스","서울특별시","서초구",4284,268,2.7,0.6,0.58,15
"29","우장산 정상~새마을지도자탑_코스","서울특별시","강서구",1024,82,0.62,0.2,0.2,16
"30","새마을지도자탑~우장산 정상_코스","서울특별시","강서구",1022,82,0.72,0.2,0.1,16
"31","아롱다롱이어린이집~홍은여자중학교산_코스","서울특별시","은평구",1005,126,0.8,0.1,0.1,16
"32","홍은여자중학교산~한빛 하우스_코스","서울특별시","서대문",2108,163,1.8,0.1,0.2,16
"33","한빛 하우스~홍은여자중학교산_코스","서울특별시","서대문",2108,163,1.7,0.3,0.1,16
"34","홍은여자중학교산~아롱다롱이어린이집_코스","서울특별시","서대문",1005,126,0.8,0.1,0.1,16
"35","배봉산 근린공원 1 개방화장실~서울시립대학교하늘못_코스","서울특별시","동대문",876,66,0.68,0.1,0.1,16
"36","아차산 생태공원~김순호기념 여학생관_코스","서울특별시","광진구",499,101,0.2,0.1,0.2,16
"37","서울시립대학교하늘못~배봉산 근린공원 1 개방화장실_코스","서울특별시","동대문",876,66,0.68,0.1,0.1,16
"38","디에스빌딩~구룡산_코스","서울특별시","강남구",4311,259,3.5,0.6,0.1,16
"39","청계산입구삼거리~개포3ㆍ4단지 교차로_코스","서울특별시","서초구",4131,268,2.53,0.5,0.7,16
"40","청계산입구삼거리~구룡산제1호 공영주차장_코스","서울특별시","서초구",4210,268,2.6,0.5,0.7,16
"41","한솔공원~청계산입구삼거리_코스","서울특별시","강남구",4052,268,2.7,0.3,0.6,16
"42","구룡산~디에스빌딩_코스","서울특별시","강남구",4311,259,3.3,0.1,0.7,16
"43","구룡산제1호 공영주차장~청계산입구삼거리_코스","서울특별시","강남구",4210,268,2.1,0.8,0.7,16
"44","청계산입구삼거리~한솔공원_코스","서울특별시","서초구",4052,268,2.65,0.5,0.5,16
"45","청계산 원터골 버스정류장~신원동출발점_코스","서울특별시","서초구",291,134,0.09,0.1,0.1,16
"46","우장산 정상~새마을지도자탑_코스","서울특별시","강서구",1022,82,0.62,0.2,0.2,16
"47","덕소등산로입구~새재골방축_코스","경기도","남양주",3522,180,2.42,0.6,0.5,16
"48","덕소등산로입구~새재골_코스","경기도","남양주",3437,180,2.54,0.6,0.3,16
"49","개화산입구~개화산약사사_코스","서울특별시","강서구",1313,112,1.01,0.2,0.1,16
"50","미타사~개화산약사사_코스","서울특별시","강서구",1114,105,0.71,0.2,0.2,16
"51","개화산약사사~미타사_코스","서울특별시","강서구",1114,105,0.71,0.1,0.3,16
"52","홍은여자중학교산~심택사_코스","서울특별시","서대문",1009,129,0.81,0.1,0.1,17
"53","석진아트빌라~홍은여자중학교산_코스","서울특별시","은평구",1319,126,0.92,0.3,0.1,17
"54","심택사~홍은여자중학교산_코스","서울특별시","은평구",1009,129,0.7,0.2,0.1,17
"55","홍은여자중학교산~석진아트빌라_코스","서울특별시","서대문",1319,126,1.02,0.1,0.2,17
"56","서울시립대학교음악관~배봉산 근린공원 1 개방화장실_코스","서울특별시","동대문",977,71,0.68,0.2,0.1,17
